Model,RMSE,MAE,MAPE
HL=1,441.32098562015113,278.75822488886695,57.005358185435504
HL=2,441.2502728444165,274.94189352988127,50.46475440119747
HL=3,439.9123595334661,274.2842785804315,47.69586318399794
HL=4,509.99198798985253,339.8096040710523,60.185543400711424
HL=5,515.6378574691657,314.0564605464813,80.31347367758738
